offID sirID damID
40586 30227 30394
40587 30227 30934
40588 30227 30934
40589 30227 30898
40590 30227 30898
40591 30227 30674
40592 30227 30674
40593 30227 30662
40594 30227 30662
40595 30227 30364
40596 30227 30364
40597 30227 30708
40598 30227 30708
40599 30227 30416
40600 30227 30416
40601 30205 30468
40602 30205 30468
40603 30205 30354
40604 30205 30354
40605 30205 30474
40606 30205 30846
40607 30205 30100
40608 30205 30794
40609 30205 30780
40610 30205 30780
40611 30205 30944
40612 30205 30944
40613 30205 30220
40614 30205 30220
40615 30205 30560
40616 30205 30560
40617 30205 30018
40618 30205 30018
40619 30205 30268
40620 30205 30268
40621 30803 30370
40622 30803 30370
40623 30803 30894
40624 30803 30894
40625 30803 30968
40626 30803 30216
40627 30803 30006
40628 30803 30006
40629 30803 30544
40630 30803 30308
40631 30803 30136
40632 30803 30136
40633 30803 30512
40634 30803 30512
40635 30803 30860
40636 30803 30860
40637 30803 30432
40638 30803 30432
40639 30803 30218
40640 30803 30218
40641 30373 30466
40642 30373 30944
40643 30373 30772
40644 30373 30772
40645 30373 30532
40646 30373 30882
40647 30373 30610
40648 30373 30814
40649 30373 30964
40650 30373 30964
40651 30373 30732
40652 30373 30732
40653 30373 30288
40654 30373 30288
40655 30373 30690
40656 30373 30690
40657 30373 30140
40658 30373 30140
40659 30373 30286
40660 30373 30286
40661 30315 30604
40662 30315 30604
40663 30315 30904
40664 30315 30426
40665 30315 30188
40666 30315 30912
40667 30315 30042
40668 30315 30042
40669 30315 30428
40670 30315 30428
40671 30315 30134
40672 30315 30134
40673 30315 30378
40674 30315 30378
40675 30315 30202
40676 30315 30202
40677 30315 30336
40678 30315 30864
40679 30315 30590
40680 30315 30590
40681 30837 30916
40682 30837 30916
40683 30837 30306
40684 30837 30306
40685 30837 30640
40686 30837 30640
40687 30837 30244
40688 30837 30244
40689 30837 30784
40690 30837 30784
40691 30837 30950
40692 30837 30950
40693 30837 30012
40694 30837 30012
40695 30837 30550
40696 30837 30550
40697 30837 30024
40698 30837 30024
40699 30837 30914
40700 30837 30914
40701 30181 30444
40702 30181 30444
40703 30181 30172
40704 30181 30172
40705 30181 30870
40706 30181 30870
40707 30181 30316
40708 30181 30316
40709 30181 30988
40710 30181 30696
40711 30181 30482
40712 30181 30482
40713 30181 30054
40714 30181 30054
40715 30181 30778
40716 30181 30778
40717 30181 30094
40718 30181 30094
40719 30181 30340
40720 30181 30340
40721 30709 30224
40722 30709 30224
40723 30709 30252
40724 30709 30252
40725 30709 30170
40726 30709 30170
40727 30709 30666
40728 30709 30666
40729 30709 30984
40730 30709 30984
40731 30709 30464
40732 30709 30464
40733 30709 30678
40734 30709 30678
40735 30709 30958
40736 30709 30958
40737 30709 30742
40738 30709 30742
40739 30709 30744
40740 30709 30744
40741 30961 30668
40742 30961 30668
40743 30961 30772
40744 30961 30448
40745 30961 30748
40746 30961 30748
40747 30961 30102
40748 30961 30102
40749 30961 30946
40750 30961 30946
40751 30961 30682
40752 30961 30682
40753 30961 30540
40754 30961 30540
40755 30961 30932
40756 30961 30932
40757 30961 30020
40758 30961 30020
40759 30961 30586
40760 30961 30586
40761 30277 30190
40762 30277 30190
40763 30277 30602
40764 30277 30602
40765 30277 30150
40766 30277 30150
40767 30277 30888
40768 30277 30888
40769 30277 30412
40770 30277 30412
40771 30277 30074
40772 30277 30074
40773 30277 30438
40774 30277 30438
40775 30277 30440
40776 30277 30440
40777 30277 30758
40778 30277 30248
40779 30277 30334
40780 30277 30284
40781 30945 30738
40782 30945 30738
40783 30945 30570
40784 30945 30570
40785 30945 30694
40786 30945 30694
40787 30945 30530
40788 30945 30294
40789 30945 30826
40790 30945 30826
40791 30945 30434
40792 30945 30806
40793 30945 30542
40794 30945 30644
40795 30945 30454
40796 30945 30454
40797 30945 30278
40798 30945 30278
40799 30945 30792
40800 30945 30792
40801 30747 30246
40802 30747 30246
40803 30747 30970
40804 30747 30970
40805 30747 30274
40806 30747 30274
40807 30747 30952
40808 30747 30968
40809 30747 30298
40810 30747 30298
40811 30747 30154
40812 30747 30154
40813 30747 30254
40814 30747 30254
40815 30747 30616
40816 30747 30616
40817 30747 30722
40818 30747 30722
40819 30747 30766
40820 30747 30766
40821 30397 30896
40822 30397 30896
40823 30397 30208
40824 30397 30208
40825 30397 30358
40826 30397 30358
40827 30397 30878
40828 30397 30878
40829 30397 30058
40830 30397 30058
40831 30397 30924
40832 30397 30924
40833 30397 30226
40834 30397 30226
40835 30397 30650
40836 30397 30650
40837 30397 30124
40838 30397 30124
40839 30397 30470
40840 30397 30470
40841 30005 30182
40842 30005 30182
40843 30005 30568
40844 30005 30998
40845 30005 30116
40846 30005 30116
40847 30005 30060
40848 30005 30060
40849 30005 30838
40850 30005 30838
40851 30005 30184
40852 30005 30184
40853 30005 30522
40854 30005 30170
40855 30005 30324
40856 30005 30660
40857 30005 30866
40858 30005 30866
40859 30005 30004
40860 30005 30004
40861 30375 30152
40862 30375 30152
40863 30375 30276
40864 30375 30276
40865 30375 30572
40866 30375 30572
40867 30375 30810
40868 30375 30810
40869 30375 30786
40870 30375 30786
40871 30375 30460
40872 30375 30460
40873 30375 30022
40874 30375 30022
40875 30375 30698
40876 30375 30698
40877 30375 30718
40878 30375 30718
40879 30375 30936
40880 30375 30936
40881 30203 30112
40882 30203 30112
40883 30203 30474
40884 30203 30474
40885 30203 30656
40886 30203 30656
40887 30203 30880
40888 30203 30880
40889 30203 30704
40890 30203 30704
40891 30203 30926
40892 30203 30926
40893 30203 30332
40894 30203 30332
40895 30203 30346
40896 30203 30346
40897 30203 30014
40898 30203 30014
40899 30203 30496
40900 30203 30690
40901 30655 30600
40902 30655 30600
40903 30655 30774
40904 30655 30774
40905 30655 30314
40906 30655 30314
40907 30655 30498
40908 30655 30790
40909 30655 30048
40910 30655 30048
40911 30655 30566
40912 30655 30566
40913 30655 30162
40914 30655 30162
40915 30655 30608
40916 30655 30778
40917 30655 30068
40918 30655 30068
40919 30655 30262
40920 30655 30262
40921 30767 30490
40922 30767 30490
40923 30767 30292
40924 30767 30292
40925 30767 30096
40926 30767 30096
40927 30767 30494
40928 30767 30494
40929 30767 30956
40930 30767 30956
40931 30767 30362
40932 30767 30362
40933 30767 30396
40934 30767 30396
40935 30767 30196
40936 30767 30196
40937 30767 30016
40938 30767 30016
40939 30767 30794
40940 30767 30794
40941 30293 30166
40942 30293 30166
40943 30293 30606
40944 30293 30734
40945 30293 30046
40946 30293 30046
40947 30293 30054
40948 30293 30210
40949 30293 30850
40950 30293 30850
40951 30293 30078
40952 30293 30078
40953 30293 30652
40954 30293 30652
40955 30293 30630
40956 30293 30630
40957 30293 30906
40958 30293 30906
40959 30293 30676
40960 30293 30676
40961 30701 30680
40962 30701 30680
40963 30701 30726
40964 30701 30726
40965 30701 30712
40966 30701 30712
40967 30701 30524
40968 30701 30524
40969 30701 30420
40970 30701 30420
40971 30701 30410
40972 30701 30972
40973 30701 30302
40974 30701 30302
40975 30701 30240
40976 30701 30240
40977 30701 30990
40978 30701 30990
40979 30701 30230
40980 30701 30230
40981 30281 30222
40982 30281 30938
40983 30281 30752
40984 30281 30752
40985 30281 30862
40986 30281 30862
40987 30281 30614
40988 30281 30614
40989 30281 30804
40990 30281 30804
40991 30281 30214
40992 30281 30214
40993 30281 30136
40994 30281 30994
40995 30281 30824
40996 30281 30824
40997 30281 30720
40998 30281 30720
40999 30281 30948
41000 30281 30948
